mix: 3647072 rows = 14.94B tokens scheduled
params 206.1M | tokens 521010 | seqs 521010 | device cuda:0 | world 7 | fa True | fp8 True
cfg batch 16 accum 2 seq 4096 grad_ckpt False doc_mask True attn_res True/0 softcap 15.0 warmup 300 epochs 1 lr_scale 1.0 mix data/mix_15b_stage1.json fone False seed 42 sample_seed 42 (follows seed) warmdown 0.0 anneal_frac 0.0 val_every 500 attn_every 4
step 390/16281 2% [main] | loss 2.839 | lr 1.00e-02 | gnorm 0.39 | 0.36B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 400/16281 2% [main] | loss 2.127 | lr 1.00e-02 | gnorm 1.10 | 0.37B tok | 74K tok/s/gpu | MFU 31% | ETA 7.8h
step 410/16281 3% [main] | loss 2.648 | lr 1.00e-02 | gnorm 0.61 | 0.38B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 420/16281 3% [main] | loss 2.265 | lr 1.00e-02 | gnorm 0.31 | 0.39B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 430/16281 3% [main] | loss 2.827 | lr 1.00e-02 | gnorm 0.60 | 0.39B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 440/16281 3% [main] | loss 2.407 | lr 1.00e-02 | gnorm 0.80 | 0.40B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 450/16281 3% [main] | loss 2.561 | lr 1.00e-02 | gnorm 0.65 | 0.41B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 460/16281 3% [main] | loss 2.729 | lr 1.00e-02 | gnorm 0.24 | 0.42B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 470/16281 3% [main] | loss 2.341 | lr 1.00e-02 | gnorm 0.66 | 0.43B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 480/16281 3% [main] | loss 2.632 | lr 1.00e-02 | gnorm 0.71 | 0.44B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 490/16281 3% [main] | loss 2.106 | lr 1.00e-02 | gnorm 0.36 | 0.45B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 500/16281 val 2.928
step 500/16281 3% [main] | loss 2.191 | lr 1.00e-02 | gnorm 0.89 | 0.46B tok | 42K tok/s/gpu | MFU 17% | ETA 13.7h
step 510/16281 3% [main] | loss 2.288 | lr 1.00e-02 | gnorm 0.33 | 0.47B tok | 75K tok/s/gpu | MFU 31% | ETA 7.6h
