params 206.1M | tokens 350545 | seqs 350545 | device cuda:0 | world 8 | fa True | fp8 True
cfg batch 24 accum 1 seq 4096 grad_ckpt False doc_mask True attn_res True/4 softcap 15.0 warmup 150 epochs 1 lr_scale 0.5 mix data/mix.json
step 910/14606 loss 3.522 | 81K tok/s/gpu | MFU 34%
step 920/14606 loss 3.297 | 81K tok/s/gpu | MFU 34%
step 930/14606 loss 3.443 | 81K tok/s/gpu | MFU 34%
step 940/14606 loss 3.283 | 81K tok/s/gpu | MFU 34%
step 950/14606 loss 3.460 | 81K tok/s/gpu | MFU 34%
step 960/14606 loss 3.493 | 81K tok/s/gpu | MFU 34%
step 970/14606 loss 3.265 | 81K tok/s/gpu | MFU 34%
step 980/14606 loss 3.228 | 81K tok/s/gpu | MFU 34%
step 990/14606 loss 3.343 | 81K tok/s/gpu | MFU 34%
step 1000/14606 val 2.795
step 1000/14606 loss 3.300 | 49K tok/s/gpu | MFU 21%
step 1010/14606 loss 3.355 | 82K tok/s/gpu | MFU 34%
step 1020/14606 loss 3.303 | 81K tok/s/gpu | MFU 34%
step 1030/14606 loss 3.164 | 81K tok/s/gpu | MFU 34%
step 1040/14606 loss 3.389 | 81K tok/s/gpu | MFU 34%
step 1050/14606 loss 3.484 | 81K tok/s/gpu | MFU 34%
step 1060/14606 loss 3.484 | 79K tok/s/gpu | MFU 33%
step 1070/14606 loss 3.205 | 81K tok/s/gpu | MFU 34%
step 1080/14606 loss 3.134 | 81K tok/s/gpu | MFU 34%
step 1090/14606 loss 3.308 | 81K tok/s/gpu | MFU 34%
step 1100/14606 loss 3.620 | 81K tok/s/gpu | MFU 34%
step 1110/14606 loss 3.435 | 81K tok/s/gpu | MFU 34%
step 1120/14606 loss 3.151 | 81K tok/s/gpu | MFU 34%
step 1130/14606 loss 3.435 | 81K tok/s/gpu | MFU 34%
step 1140/14606 loss 3.444 | 81K tok/s/gpu | MFU 34%
step 1150/14606 loss 3.439 | 81K tok/s/gpu | MFU 34%
step 1160/14606 loss 3.240 | 81K tok/s/gpu | MFU 34%
step 1170/14606 loss 3.154 | 81K tok/s/gpu | MFU 34%
step 1180/14606 loss 3.236 | 81K tok/s/gpu | MFU 34%
step 1190/14606 loss 3.549 | 81K tok/s/gpu | MFU 34%
step 1200/14606 loss 3.208 | 78K tok/s/gpu | MFU 32%
step 1210/14606 loss 3.159 | 81K tok/s/gpu | MFU 34%
step 1220/14606 loss 3.513 | 81K tok/s/gpu | MFU 34%
step 1230/14606 loss 3.442 | 81K tok/s/gpu | MFU 34%
step 1240/14606 loss 3.132 | 81K tok/s/gpu | MFU 34%
step 1250/14606 loss 3.192 | 81K tok/s/gpu | MFU 34%
step 1260/14606 loss 3.533 | 81K tok/s/gpu | MFU 34%
step 1270/14606 loss 3.511 | 81K tok/s/gpu | MFU 34%
step 1280/14606 loss 3.470 | 81K tok/s/gpu | MFU 34%
step 1290/14606 loss 3.128 | 81K tok/s/gpu | MFU 34%
step 1300/14606 loss 3.304 | 81K tok/s/gpu | MFU 34%
step 1310/14606 loss 3.212 | 81K tok/s/gpu | MFU 34%
step 1320/14606 loss 2.981 | 81K tok/s/gpu | MFU 34%
step 1330/14606 loss 3.226 | 81K tok/s/gpu | MFU 34%
step 1340/14606 loss 3.310 | 81K tok/s/gpu | MFU 34%
step 1350/14606 loss 3.264 | 81K tok/s/gpu | MFU 34%
step 1360/14606 loss 3.533 | 81K tok/s/gpu | MFU 34%
step 1370/14606 loss 3.065 | 81K tok/s/gpu | MFU 34%
step 1380/14606 loss 3.506 | 81K tok/s/gpu | MFU 34%
step 1390/14606 loss 3.156 | 81K tok/s/gpu | MFU 34%
step 1400/14606 loss 3.333 | 78K tok/s/gpu | MFU 33%
step 1410/14606 loss 3.251 | 81K tok/s/gpu | MFU 34%
step 1420/14606 loss 3.350 | 81K tok/s/gpu | MFU 34%
step 1430/14606 loss 3.361 | 81K tok/s/gpu | MFU 34%
step 1440/14606 loss 3.233 | 81K tok/s/gpu | MFU 34%
step 1450/14606 loss 3.358 | 81K tok/s/gpu | MFU 34%
step 1460/14606 loss 3.495 | 81K tok/s/gpu | MFU 34%
step 1470/14606 loss 3.178 | 81K tok/s/gpu | MFU 34%
step 1480/14606 loss 3.113 | 81K tok/s/gpu | MFU 34%
step 1490/14606 loss 3.461 | 81K tok/s/gpu | MFU 34%
step 1500/14606 val 2.661
step 1500/14606 loss 3.209 | 52K tok/s/gpu | MFU 22%
step 1510/14606 loss 2.946 | 78K tok/s/gpu | MFU 33%
step 1520/14606 loss 3.159 | 81K tok/s/gpu | MFU 34%
step 1530/14606 loss 3.373 | 81K tok/s/gpu | MFU 34%
step 1540/14606 loss 3.339 | 81K tok/s/gpu | MFU 34%
step 1550/14606 loss 3.101 | 81K tok/s/gpu | MFU 34%
step 1560/14606 loss 3.172 | 81K tok/s/gpu | MFU 34%
step 1570/14606 loss 3.320 | 81K tok/s/gpu | MFU 34%
step 1580/14606 loss 3.445 | 81K tok/s/gpu | MFU 34%
step 1590/14606 loss 3.321 | 81K tok/s/gpu | MFU 34%
step 1600/14606 loss 3.233 | 78K tok/s/gpu | MFU 33%
step 1610/14606 loss 2.870 | 82K tok/s/gpu | MFU 34%
step 1620/14606 loss 3.244 | 81K tok/s/gpu | MFU 34%
step 1630/14606 loss 3.469 | 81K tok/s/gpu | MFU 34%
step 1640/14606 loss 3.327 | 81K tok/s/gpu | MFU 34%
step 1650/14606 loss 3.278 | 81K tok/s/gpu | MFU 34%
step 1660/14606 loss 3.289 | 81K tok/s/gpu | MFU 34%
step 1670/14606 loss 3.536 | 81K tok/s/gpu | MFU 34%
step 1680/14606 loss 3.212 | 81K tok/s/gpu | MFU 34%
step 1690/14606 loss 3.391 | 81K tok/s/gpu | MFU 34%
step 1700/14606 loss 3.421 | 81K tok/s/gpu | MFU 34%
step 1710/14606 loss 3.115 | 81K tok/s/gpu | MFU 34%
step 1720/14606 loss 3.189 | 81K tok/s/gpu | MFU 34%
step 1730/14606 loss 3.066 | 81K tok/s/gpu | MFU 34%
step 1740/14606 loss 3.337 | 81K tok/s/gpu | MFU 34%
