pod code: 4d9e194d3626a221df168037551938f72772240b (clean, synced 2026-09-03T22:25:09Z, manifest verified)
W0903 22:25:33.379000 4147361 torch/distributed/run.py:851] 
W0903 22:25:33.379000 4147361 torch/distributed/run.py:851] *****************************************
W0903 22:25:33.379000 4147361 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0903 22:25:33.379000 4147361 torch/distributed/run.py:851] *****************************************
corpus_fp: {'math_owm_stage2': '1e687e4b5ce37598', 'en_c4_stage2': '05e0fc6f14704056', 'cot': '388496b76ed9bf88', 'textbook_30b': '3f237c5191cb8571', 'chatml': '52a6b427818c90ff', 'chat_qa': '42a4bedde020ae66', 'zh_web': 'a0d44fc44a289d60', 'code_py_starcoder': 'e1a14839e11f3e6f', 'code_py_rp1t': '63c2b3ce0e7dd989'}
/usr/local/lib/python3.12/dist-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
[rank0]:[W903 22:25:49.727211499 ProcessGroupNCCL.cpp:5188] Guessing device ID based on global rank. This can cause a hang if rank to GPU mapping is heterogeneous. You can specify device_id in init_process_group()
mix: math_owm_stage2 516168 rows = 0.32 epochs
mix: en_c4_stage2 317642 rows = 0.55 epochs
mix: cot 157606 rows = 1.60 epochs
mix: textbook_30b 198526 rows = 0.51 epochs
mix: chatml 14468 rows = 1.60 epochs
mix: chat_qa 14166 rows = 1.60 epochs
mix: zh_web 59558 rows = 0.01 epochs
mix: code_py_starcoder 643969 rows = 0.30 epochs
mix: code_py_rp1t 31020 rows = 0.32 epochs
mix: 1953123 rows = 8.00B tokens scheduled
FP8 compute enabled
params 122.3M | tokens 976561 | seqs 976561 | device cuda:0 | world 2 | fa True | fp8 True
cfg batch 16 accum 2 seq 4096 grad_ckpt False doc_mask True attn_res True/0 softcap 15.0 warmup 300 epochs 1 lr_scale 1.0 mix data/mix_200m_8b.json fone False seed 42 sample_seed 42 (follows seed) warmdown 0.1 anneal_frac 0.0 val_every 500 attn_every 4
cfg non-default: accum=2, anneal_frac=0.0, batch=16, d=768, ffn_hidden=2304, heads=6, mix='data/mix_200m_8b.json', warmdown=0.1, warmup=300
dynamo cache_size_limit=64 (need 25)
[rank0]:W0903 22:28:57.979000 4147440 torch/_logging/_internal.py:1279] [0/0] Profiler record function <class 'torch.autograd.profiler.record_function'> will be ignored
[rank1]:W0903 22:28:57.983000 4147441 torch/_logging/_internal.py:1279] [0/0] Profiler record function <class 'torch.autograd.profiler.record_function'> will be ignored
step 10/4824 0% [main] | loss 7.722 | lr 3.33e-04 (muon 3.33e-04 embed 3.33e-03 scalar 5.00e-03 arq 3.33e-04) | gnorm 3.06 | 0.00B tok | 39K tok/s/gpu | MFU 10% | peak 37.03GiB | ETA 4.5h
step 20/4824 0% [main] | loss 5.678 | lr 6.67e-04 (muon 6.67e-04 embed 6.67e-03 scalar 1.00e-02 arq 6.67e-04) | gnorm 1.01 | 0.01B tok | 117K tok/s/gpu | MFU 29% | peak 37.02GiB | ETA 1.5h
step 30/4824 1% [main] | loss 5.959 | lr 1.00e-03 (muon 1.00e-03 embed 1.00e-02 scalar 1.50e-02 arq 1.00e-03) | gnorm 1.34 | 0.01B tok | 118K tok/s/gpu | MFU 29% | peak 37.02GiB | ETA 1.5h
step 40/4824 1% [main] | loss 5.684 | lr 1.33e-03 (muon 1.33e-03 embed 1.33e-02 scalar 2.00e-02 arq 1.33e-03) | gnorm 1.45 | 0.01B tok | 118K tok/s/gpu | MFU 29% | peak 37.03GiB | ETA 1.5h
step 50/4824 1% [main] | loss 5.545 | lr 1.67e-03 (muon 1.67e-03 embed 1.67e-02 scalar 2.50e-02 arq 1.67e-03) | gnorm 1.64 | 0.01B tok | 118K tok/s/gpu | MFU 29% | peak 37.02GiB | ETA 1.5h
step 60/4824 1% [main] | loss 5.471 | lr 2.00e-03 (muon 2.00e-03 embed 2.00e-02 scalar 3.00e-02 arq 2.00e-03) | gnorm 2.02 | 0.02B tok | 118K tok/s/gpu | MFU 29% | peak 37.03GiB | ETA 1.5h
step 70/4824 1% [main] | loss 4.868 | lr 2.33e-03 (muon 2.33e-03 embed 2.33e-02 scalar 3.50e-02 arq 2.33e-03) | gnorm 3.05 | 0.02B tok | 118K tok/s/gpu | MFU 29% | peak 37.04GiB | ETA 1.5h
step 80/4824 2% [main] | loss 4.791 | lr 2.67e-03 (muon 2.67e-03 embed 2.67e-02 scalar 4.00e-02 arq 2.67e-03) | gnorm 2.14 | 0.02B tok | 118K tok/s/gpu | MFU 29% | peak 37.02GiB | ETA 1.5h
step 90/4824 2% [main] | loss 5.228 | lr 3.00e-03 (muon 3.00e-03 embed 3.00e-02 scalar 4.50e-02 arq 3.00e-03) | gnorm 5.16 | 0.02B tok | 118K tok/s/gpu | MFU 29% | peak 37.04GiB | ETA 1.5h
step 100/4824 2% [main] | loss 4.999 | lr 3.33e-03 (muon 3.33e-03 embed 3.33e-02 scalar 5.00e-02 arq 3.33e-03) | gnorm 2.42 | 0.03B tok | 118K tok/s/gpu | MFU 29% | peak 37.04GiB | ETA 1.5h
step 110/4824 2% [main] | loss 4.791 | lr 3.67e-03 (muon 3.67e-03 embed 3.67e-02 scalar 5.50e-02 arq 3.67e-03) | gnorm 1.92 | 0.03B tok | 112K tok/s/gpu | MFU 28% | peak 37.04GiB | ETA 1.5h
step 120/4824 2% [main] | loss 4.685 | lr 4.00e-03 (muon 4.00e-03 embed 4.00e-02 scalar 6.00e-02 arq 4.00e-03) | gnorm 3.52 | 0.03B tok | 118K tok/s/gpu | MFU 29% | peak 37.03GiB | ETA 1.5h
step 130/4824 3% [main] | loss 4.232 | lr 4.33e-03 (muon 4.33e-03 embed 4.33e-02 scalar 6.50e-02 arq 4.33e-03) | gnorm 2.66 | 0.03B tok | 118K tok/s/gpu | MFU 29% | peak 37.03GiB | ETA 1.4h
step 140/4824 3% [main] | loss 4.226 | lr 4.67e-03 (muon 4.67e-03 embed 4.67e-02 scalar 7.00e-02 arq 4.67e-03) | gnorm 2.27 | 0.04B tok | 118K tok/s/gpu | MFU 29% | peak 37.03GiB | ETA 1.4h
step 150/4824 3% [main] | loss 4.370 | lr 5.00e-03 (muon 5.00e-03 embed 5.00e-02 scalar 7.50e-02 arq 5.00e-03) | gnorm 4.72 | 0.04B tok | 118K tok/s/gpu | MFU 29% | peak 37.02GiB | ETA 1.4h
step 160/4824 3% [main] | loss 4.261 | lr 5.33e-03 (muon 5.33e-03 embed 5.33e-02 scalar 8.00e-02 arq 5.33e-03) | gnorm 3.94 | 0.04B tok | 118K tok/s/gpu | MFU 29% | peak 37.02GiB | ETA 1.4h
step 170/4824 4% [main] | loss 3.649 | lr 5.67e-03 (muon 5.67e-03 embed 5.67e-02 scalar 8.50e-02 arq 5.67e-03) | gnorm 6.56 | 0.04B tok | 118K tok/s/gpu | MFU 29% | peak 37.02GiB | ETA 1.4h
step 180/4824 4% [main] | loss 3.522 | lr 6.00e-03 (muon 6.00e-03 embed 6.00e-02 scalar 9.00e-02 arq 6.00e-03) | gnorm 6.59 | 0.05B tok | 118K tok/s/gpu | MFU 29% | peak 37.02GiB | ETA 1.4h
step 190/4824 4% [main] | loss 3.956 | lr 6.33e-03 (muon 6.33e-03 embed 6.33e-02 scalar 9.50e-02 arq 6.33e-03) | gnorm 4.91 | 0.05B tok | 118K tok/s/gpu | MFU 29% | peak 37.02GiB | ETA 1.4h
step 200/4824 4% [main] | loss 3.203 | lr 6.67e-03 (muon 6.67e-03 embed 6.67e-02 scalar 1.00e-01 arq 6.67e-03) | gnorm 3.30 | 0.05B tok | 113K tok/s/gpu | MFU 28% | peak 37.03GiB | ETA 1.5h
step 210/4824 4% [main] | loss 3.389 | lr 7.00e-03 (muon 7.00e-03 embed 7.00e-02 scalar 1.05e-01 arq 7.00e-03) | gnorm 1.99 | 0.06B tok | 118K tok/s/gpu | MFU 29% | peak 37.04GiB | ETA 1.4h
