PATH                                                     LINES  LAST COMMIT           REACHED FROM                                   FATE
----------------------------------------------------------------------------------------------------------------------------------
mathbank/math_programs_l1_ext2.py                         1329  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l1_ext3.py                         1443  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l2.py                               223  aa3a8b9 2026-08-26    registry:mathbank/vet_programs.py              
mathbank/math_programs_l2_ext1.py                         1238  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l2_ext2.py                         1272  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l2_ext3.py                         2050  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l3.py                               241  aa3a8b9 2026-08-26    registry:mathbank/vet_programs.py              
mathbank/math_programs_l3_ext1.py                         1218  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l3_ext2.py                         1785  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l3_ext3.py                         2156  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l3_ext4.py                         2019  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l3_ext5.py                         2230  df30c3a 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l3_ext6.py                         1606  152f68e 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l3_ext7.py                         1632  3f3ed39 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l3_ext8.py                         1913  b1c3760 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l4.py                               168  aa3a8b9 2026-08-26    registry:mathbank/vet_programs.py              
mathbank/math_programs_l4_ext2.py                         1597  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l4_ext3.py                         1799  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l4_ext4.py                         2001  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l4_ext5.py                         1875  df30c3a 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l4_ext6.py                         2211  152f68e 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l4_ext7.py                         1641  3f3ed39 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_l4_ext8.py                         1785  b1c3760 2026-08-26    registry:mathbank/run_math_short.py            
mathbank/math_programs_short_l3.py                        1069  5bb773a 2026-08-27    registry:mathbank/run_short_sol.py             
mathbank/math_programs_short_l4.py                         941  5bb773a 2026-08-27    registry:mathbank/run_short_sol.py             
mathbank/mathcommon.py                                      41  aa3a8b9 2026-08-26    import:mathbank/vet_programs.py                
mathbank/procedure_curriculum.py                           277  9176f85 2026-08-30    facts:scripts/restartability_baseline.json     
mathbank/program_probe.py                                  158  9176f85 2026-08-30    facts:scripts/restartability_baseline.json     
mathbank/run_math_short.py                                 252  9176f85 2026-08-30    docs:docs/audits/audit_math_corpus.md          
mathbank/run_short_sol.py                                   95  9176f85 2026-08-30    docs:scripts/build_math_expand.sh              
mathbank/split_bank.py                                      65  3ed1eb6 2026-08-28    docs:docs/audits/audit_math_corpus.md          
