mix: 3647072 rows = 14.94B tokens scheduled
params 206.1M | tokens 521010 | seqs 521010 | device cuda:0 | world 7 | fa True | fp8 True
cfg batch 16 accum 2 seq 4096 grad_ckpt False doc_mask True attn_res True/0 softcap 15.0 warmup 300 epochs 1 lr_scale 1.0 mix data/mix_15b_stage1.json fone False seed 42 sample_seed 42 (follows seed) warmdown 0.0 anneal_frac 0.0 val_every 500 attn_every 4
step 10/16281 0% [main] | loss 7.620 | lr 3.33e-04 | gnorm 1.74 | 0.01B tok | 32K tok/s/gpu | MFU 14% | ETA 18.3h
step 20/16281 0% [main] | loss 5.941 | lr 6.67e-04 | gnorm 0.65 | 0.02B tok | 77K tok/s/gpu | MFU 32% | ETA 7.7h
step 30/16281 0% [main] | loss 5.661 | lr 1.00e-03 | gnorm 1.43 | 0.03B tok | 77K tok/s/gpu | MFU 32% | ETA 7.7h
step 40/16281 0% [main] | loss 5.096 | lr 1.33e-03 | gnorm 1.38 | 0.04B tok | 77K tok/s/gpu | MFU 32% | ETA 7.7h
step 50/16281 0% [main] | loss 4.590 | lr 1.67e-03 | gnorm 2.20 | 0.05B tok | 77K tok/s/gpu | MFU 32% | ETA 7.7h
step 60/16281 0% [main] | loss 4.877 | lr 2.00e-03 | gnorm 1.76 | 0.06B tok | 77K tok/s/gpu | MFU 32% | ETA 7.7h
step 70/16281 0% [main] | loss 4.482 | lr 2.33e-03 | gnorm 2.38 | 0.06B tok | 77K tok/s/gpu | MFU 32% | ETA 7.7h
step 80/16281 0% [main] | loss 4.810 | lr 2.67e-03 | gnorm 1.93 | 0.07B tok | 57K tok/s/gpu | MFU 24% | ETA 10.3h
step 90/16281 1% [main] | loss 4.434 | lr 3.00e-03 | gnorm 3.97 | 0.08B tok | 77K tok/s/gpu | MFU 32% | ETA 7.6h
step 100/16281 1% [main] | loss 4.631 | lr 3.33e-03 | gnorm 2.81 | 0.09B tok | 77K tok/s/gpu | MFU 32% | ETA 7.6h
step 110/16281 1% [main] | loss 4.470 | lr 3.67e-03 | gnorm 4.56 | 0.10B tok | 77K tok/s/gpu | MFU 32% | ETA 7.6h
step 120/16281 1% [main] | loss 4.444 | lr 4.00e-03 | gnorm 3.88 | 0.11B tok | 77K tok/s/gpu | MFU 32% | ETA 7.6h
step 130/16281 1% [main] | loss 3.697 | lr 4.33e-03 | gnorm 4.19 | 0.12B tok | 77K tok/s/gpu | MFU 32% | ETA 7.6h
step 140/16281 1% [main] | loss 3.915 | lr 4.67e-03 | gnorm 4.97 | 0.13B tok | 77K tok/s/gpu | MFU 32% | ETA 7.6h
step 150/16281 1% [main] | loss 3.559 | lr 5.00e-03 | gnorm 4.41 | 0.14B tok | 77K tok/s/gpu | MFU 32% | ETA 7.6h
step 160/16281 1% [main] | loss 3.969 | lr 5.33e-03 | gnorm 5.25 | 0.15B tok | 77K tok/s/gpu | MFU 32% | ETA 7.6h
step 170/16281 1% [main] | loss 3.623 | lr 5.67e-03 | gnorm 3.78 | 0.16B tok | 77K tok/s/gpu | MFU 32% | ETA 7.6h
